527;0,5
519;1
530;1,5
523;2
544;2,5
652;3
715;3,5
554;4
472;4,5
456;5
528;5,5
524;6
528;6,5
521;7
531;7,5
524;8
533;8,5
526;9
535;9,5
530;10
538;10,5
535;11
545;11,5
541;12
554;12,5
552;13
565;13,5
562;14
576;14,5
574;15
592;15,5
594;16
605;16,5
596;17
602;17,5
586;18
579;18,5
548;19
531;19,5
503;20
493;20,5
478;21
479;21,5
467;22
472;22,5
465;23
473;23,5
472;24
479;24,5
476;25
484;25,5
482;26
492;26,5
488;27
493;27,5
491;28
497;28,5
491;29
496;29,5
488;30
493;30,5
487;31
492;31,5
488;32
491;32,5
486;33
490;33,5
487;34
490;34,5
485;35
491;35,5
488;36
495;36,5
490;37
496;37,5
493;38
498;38,5
495;39
496;39,5
495;40
501;40,5
497;41
501;41,5
498;42
502;42,5
499;43
503;43,5
499;44
502;44,5
499;45
502;45,5
495;46
503;46,5
499;47
503;47,5
506;48
511;48,5
506;49
528;49,5
527;50
516;50,5
518;51
515;51,5
505;52
508;52,5
507;53
510;53,5
512;54
602;54,5
719;55
559;55,5
503;56
424;56,5
497;57
520;57,5
509;58
515;58,5
516;59
522;59,5
522;60
524;60,5
524;61
527;61,5
527;62
534;62,5
533;63
535;63,5
539;64
546;64,5
549;65
554;65,5
561;66
569;66,5
578;67
589;67,5
591;68
597;68,5
593;69
590;69,5
575;70
556;70,5
531;71
513;71,5
497;72
486;72,5
478;73
476;73,5
473;74
472;74,5
473;75
473;75,5
474;76
475;76,5
478;77
480;77,5
481;78
486;78,5
490;79
490;79,5
492;80
495;80,5
496;81
497;81,5
498;82
497;82,5
498;83
497;83,5
496;84
494;84,5
490;85
490;85,5
491;86
492;86,5
490;87
491;87,5
489;88
489;88,5
490;89
490;89,5
491;90
491;90,5
494;91
494;91,5
498;92
501;92,5
503;93
505;93,5
508;94
512;94,5
510;95
510;95,5
510;96
511;96,5
510;97
511;97,5
509;98
509;98,5
507;99
504;99,5
503;100
505;100,5
505;101
510;101,5
504;102
519;102,5
530;103
519;103,5
515;104
517;104,5
507;105
502;105,5
505;106
507;106,5
512;107
530;107,5
665;108
688;108,5
545;109
464;109,5
452;110
525;110,5
521;111
518;111,5
522;112
525;112,5
527;113
528;113,5
529;114
530;114,5
533;115
536;115,5
539;116
540;116,5
542;117
547;117,5
554;118
561;118,5
567;119
576;119,5
587;120
596;120,5
605;121
610;121,5
609;122
609;122,5
601;123
586;123,5
563;124
541;124,5
523;125
511;125,5
501;126
496;126,5
493;127
490;127,5
492;128
492;128,5
495;129
495;129,5
497;130
500;130,5
503;131
507;131,5
509;132
506;132,5
509;133
510;133,5
510;134
514;134,5
514;135
515;135,5
514;136
518;136,5
517;137
515;137,5
517;138
515;138,5
511;139
513;139,5
519;140
521;140,5
524;141
526;141,5
526;142
534;142,5
533;143
542;143,5
555;144
579;144,5
588;145
616;145,5
656;146
685;146,5
